id,answer
level1_479,110
level1_480,11
level1_481,10
level1_482,111
level1_483,111
level1_484,0010
level1_485,1000
level1_486,11
level1_487,110
level1_488,01
level1_490,01
level1_491,110
level1_492,1100
level1_493,110
level1_494,10
level1_495,1000
level1_496,1000
level1_498,0110
level1_499,1010
level1_500,0100
level1_501,1000
level1_502,1000
level1_503,0010
level1_504,1000
level1_505,011
level1_506,0100
level1_507,01
level1_508,110
level1_509,110000
level1_510,111
level1_513,1100
level1_514,1100
level1_516,1000
level1_517,100
level1_518,011
level1_519,110
level1_521,100
level1_522,001
level1_523,010
level1_524,001
level1_525,10
level1_526,01
level1_528,01
level1_529,011
level1_530,0011
level1_532,0010
level1_533,100
level1_534,0001
level1_536,0011
level1_537,011
level1_538,110
level1_539,0011
level1_540,100
level1_541,010
level1_543,110
level1_544,010
level1_545,101
level1_546,100
level1_547,101
level1_548,101
level1_549,0110
level1_550,0110
level1_551,0010
level1_552,0100
level1_553,0100
level1_555,111
level1_556,011
level1_557,100
level1_558,100
level1_559,11
level1_560,010
level1_561,101
level1_562,1000
level1_563,011
level1_564,011
level1_565,100
level1_566,001
level1_567,110
level1_568,111
level1_569,111
level1_570,110
level1_571,0101
level1_572,1111
level1_573,101
level1_574,11
level1_575,01
level1_576,100
level1_577,001
level1_578,110
level1_579,111
level1_580,110
level1_581,10
level1_582,10
level1_583,11
level1_584,0110
level1_585,0101
level1_586,110
level1_587,0100
level1_588,0010
level1_589,11
level1_590,111
level1_591,10
level1_592,110
level1_593,1000
level1_594,101
level1_595,0101
level1_596,0100
level1_597,1000
level1_598,1000
level1_599,100
level1_600,10
level1_601,1
level1_124,1010
level1_125,0010
level1_126,0110
level1_127,1000
level1_128,110
level1_129,100
level1_130,101
level1_134,111
level1_135,110
level1_136,0001
level1_137,111
level1_138,111
level1_139,111
level1_140,1000
level1_141,0110
level1_142,1000
level1_143,1111
level1_144,1001
level1_146,1000
level1_147,1000
level1_148,1000
level1_149,100
level1_150,0100
level1_151,1000
level1_152,1001
level1_153,110
level1_154,100
level1_155,010
level1_156,11
level1_158,01
level1_159,11
level1_160,1000
level1_161,1000
level1_163,00101
level1_164,1010
level1_165,110
level1_166,111
level1_167,110
level1_168,111
level1_169,11
level1_170,110
level1_171,101
level1_172,101
level1_173,110
level1_174,111
level1_175,0110
level1_177,100
level1_178,10
level1_179,0010
level1_180,10
level1_181,110
level1_182,101
level1_183,001
level1_184,110
level1_185,100
level1_186,100
level1_187,100
level1_189,111100
level1_190,110
level1_191,110
level1_192,11
level1_193,011
level1_194,0010
level1_196,01
level1_197,0101
level1_199,0100
level1_200,1000
level1_201,1000
level1_202,0110
level1_203,0010
level1_204,110
level1_205,100
level1_206,0110
level1_207,1000
level1_208,1001
level1_209,0110
level1_210,0100
level1_211,0101
level1_212,1100
level1_213,0010
level1_214,0100
level1_215,0010
level1_216,0101
level1_217,011
level1_218,111
level1_219,101
level1_220,011
level1_221,1000
level1_222,110
level1_223,100
level1_225,110
level1_226,011
level1_227,10
level1_228,1000
level1_229,111
level1_230,101
level1_231,111
level1_232,1000
level1_234,100
level1_235,111
level1_236,10
level1_237,10
level1_239,1111
level1_240,110
level1_241,11
level1_242,0010
level1_243,011
level1_244,101
level1_245,011
level1_247,0100
level1_248,11100
level1_249,0100
level1_250,0100
level1_251,101
level1_252,111
level1_253,101
level1_254,1010
level1_256,110
level1_257,1010
level1_258,0001
level1_260,0010
level1_262,1000
level1_263,1000
level1_265,111
level1_267,111
level1_270,0001
level1_271,111111
level1_272,110
level1_273,011
level1_274,0010
level1_276,11
level1_278,01
level1_279,110
level1_280,100
level1_281,1100
level1_282,1000
level1_283,010
level1_284,0011
level1_286,110
level1_288,1101
level1_289,10000
level1_290,001
level1_291,110
level1_292,1000
level1_295,1111
level1_296,001
level1_297,100
level1_298,010
level1_299,001
level1_301,11
level1_302,10
level1_303,110
level1_304,1000
level1_305,0100
level1_306,0100
level1_307,1100
level1_308,11
level1_309,11
level1_310,11
level1_311,010
level1_312,100
level1_313,01
level1_314,01
level1_315,10000
level1_316,11
level1_317,110
level1_318,011
level1_319,110
level1_320,10
level1_321,111
level1_322,110
level1_323,0010
level1_325,110
level1_326,111
level1_329,110
level1_330,110
level1_333,1001
level1_335,111
level1_336,1001
level1_337,100
level1_338,001
level1_339,100
level1_340,110
level1_341,100
level1_342,0100
level1_343,0001
level1_345,1000
level1_346,10
level1_347,100
level1_349,0100
level1_351,1000
level1_352,01
level1_353,110
level1_354,0100
level1_355,111
level1_356,110
level1_357,110
level1_358,11
level1_359,001
level1_360,01
level2_4,1010
level2_5,100
level2_6,110
level4_6,110
level2_7,1100
level2_8,00101
level2_9,1101
level4_10,0101
level2_13,100
level2_14,0100
level2_15,110
level2_19,0010
level2_20,0011
level4_20,0011
level2_21,011
level2_22,1000
level4_22,1100
level2_26,0010
level2_27,0011
level2_28,0101
level4_29,1001
level4_31,011
level4_32,11100
level4_36,0001
level2_41,0100
level4_41,0100
level2_42,0110
level2_43,001
level2_44,0100
level4_44,1100
level2_45,1100
level2_46,0101
level2_47,00011
level2_48,0001
level2_49,00110
level2_50,1001
level2_51,01100
level2_52,00001
level2_53,00001
level2_54,00110
level4_54,11000
level2_55,0100
level2_56,0110
level2_57,1000
level4_57,1001
level2_58,1000
level4_58,1100
level2_59,0001
level4_59,0001
level2_60,1100
level2_61,1100
level2_62,0101
level2_63,10001
level4_63,11010
level2_64,0011
level2_65,1010
level2_66,0101
level2_67,0011
level2_68,0010
level4_68,1111
level2_69,1100
level2_70,1001
level4_70,1001
level2_71,1011
level4_71,1011
level2_72,1100
level2_73,0010
level4_73,0010
level2_74,0100
level4_74,1100
level2_75,1000
level4_75,0110
level2_76,110
level4_76,110
level2_77,1001
level4_77,0011
level2_78,1001
level4_78,0011
level2_79,01001
level4_79,00011
level2_80,00101
level4_80,00101
level2_81,01001
level4_81,11001
level2_82,01100
level4_82,10010
level2_83,10001
level4_83,10000
level2_84,0100
level4_84,1000
level2_85,1100
level4_85,1100
level2_86,1010
level2_87,01
level2_88,0010
level4_88,1010
level2_89,1100
level2_90,0010
level2_91,01
level2_92,1010
level2_93,1100
level4_93,1001
level2_94,0100
level2_95,0001
level2_96,0001
level2_97,00110
level2_98,110101
level2_99,0101
level2_100,01000
level2_101,0110
level4_101,0110
level2_102,10100
level4_102,10000
level2_103,00110
level4_103,00110
level2_104,1111
level2_105,1100
level2_106,0110
level2_107,01
level4_107,01
level2_108,0011
level2_109,001001
level2_110,1100
level2_111,1010
level4_112,100
level4_113,1100
level2_114,010
level4_114,010
level2_115,0010
level2_116,1100
level2_117,110
level2_118,101
level4_118,101
level2_119,1111
level2_120,110
level2_121,110
level2_122,010
level2_123,1000
level2_124,0010
level2_125,1010
level2_126,1100
level4_127,11
level2_128,0110
level4_129,101
level4_130,001
level4_131,10100
